ID,Gender,Weight (kg),Height (cm),Size
148,Female,38.7,155,M
149,Male,13.4,85.8,S
150,Female,37.9,145.4,M
151,Female,24.7,106.4,S
152,Male,42.2,166,XL
153,Male,41.1,154.8,M
154,Male,14.6,61.2,XS
155,Female,27.7,105.3,S
156,Female,0.5,61.5,XS
157,Female,11.9,80.9,S
158,Female,21.6,85.5,S
159,Female,51.1,162.1,L
160,Female,-4.6,58.3,XS
161,Female,17.1,95.3,S
162,Female,27.9,125.5,XL
163,Male,23.3,123.3,XL
164,Male,46.8,151.4,M
165,Male,12.6,82.4,S
166,Female,34.4,105.5,M
167,Male,23.1,130.7,XL
168,Female,23.6,94.8,S
169,Female,35.6,124.8,M
170,Male,48.7,166.3,XL
171,Male,36.5,136.8,M
172,Male,15.7,70.9,XS
173,Female,19.3,92.6,S
174,Female,51,169.9,L
175,Male,23.4,113.5,S
176,Female,37.9,144.2,M
177,Female,41.7,155.6,M
178,Female,31.9,148.1,M
179,Female,2.9,56.4,XS
180,Male,27.1,111.7,S
181,Male,-4.7,71.6,XS
182,Male,46,176.1,XL
183,Male,35.6,141.2,M
184,Male,9.5,55.3,XS
185,Female,20.9,103.1,S
186,Female,28.9,111.5,S
187,Female,2.5,74.2,XS
188,Female,25.3,99.1,S
189,Male,34.4,169.1,XL
190,Female,50.2,158.6,L
191,Male,34.5,119.6,M
192,Male,38.5,148.2,M
193,Male,20.5,126,XL
194,Male,14.9,77.9,XS
195,Male,30.1,108.3,M
196,Female,3.6,75.9,XS
197,Male,6.7,62.8,XS
198,Male,32.1,138.4,M
199,Male,36.1,125.8,M
200,Male,32.5,140.7,M
201,Male,42.2,163.1,XL
202,Female,26.7,140.9,XL
203,Female,39.9,172.3,XL
204,Female,5.1,81.3,XS
205,Male,23.1,111.4,S
206,Female,30.4,114.3,M
207,Male,23.5,69.8,XS
208,Male,11,98.3,S
209,Male,46,171.4,XL
210,Male,30,113.7,M
211,Female,21,89.1,S
212,Female,36.2,152.5,M
213,Male,23,93,S
214,Female,46.5,151.2,M
215,Female,28.6,154.2,XL
216,Female,25.3,123,XL
217,Male,10.3,61.3,XS
218,Male,34.8,171.6,XL
219,Male,40.9,160.5,XL
220,Male,44.3,167.3,XL
221,Female,36.3,158.7,M
222,Female,22.1,83.7,S
223,Female,40.3,173.1,XL
224,Female,39,150.9,M
225,Male,-3.4,47.5,XS
226,Male,30.5,134.5,M
227,Male,23.7,97.3,S
228,Male,8.1,52.9,XS
229,Male,24.6,130.2,XL
230,Female,45.9,160,XL
231,Female,20.2,87.4,S
232,Male,19.7,87.2,S
233,Male,45.6,176.9,XL
234,Female,40.2,161.1,XL
235,Male,4.3,65,XS
236,Male,22.2,98.8,S
237,Female,10.6,77.2,XS
238,Male,17,95.6,S
239,Female,35.7,142.9,M
240,Female,7.5,52,XS
241,Male,39.4,167.4,XL
242,Female,7.8,76.7,XS
243,Female,23.1,135.1,XL
244,Female,18.2,70,XS
245,Female,13.6,90.4,S
246,Female,11.7,71.3,XS
247,Male,-2.8,54,XS
248,Male,46.2,167.5,XL
249,Male,38.9,124.1,M
250,Female,40,150.9,M
251,Male,22.7,142.5,XL
252,Male,8.9,55.8,XS
253,Female,46.3,175.2,XL
254,Male,15.3,55.2,XS
255,Male,36.2,112.9,M
256,Male,24.1,127.7,XL
257,Male,19.5,100.6,S
258,Female,14.2,96.5,S
259,Male,18,126.7,XL
260,Male,5.3,37.6,XS
261,Male,26.6,147.1,XL
262,Female,25.9,121.3,XL
263,Male,4.8,45.5,XS
264,Male,30.3,117.8,M
265,Male,33.9,158.2,M
266,Female,47.3,164.2,XL
267,Male,34.2,125,M
268,Male,26.5,88.3,S
269,Male,7.2,64.8,XS
270,Male,9.5,98.2,XS
271,Female,28.7,123,XL
272,Male,32.5,99.5,M
273,Female,17.5,116.5,S
274,Female,39.5,152.7,M
275,Female,25.6,121.6,XL
276,Female,13.6,58.6,XS
277,Female,35.3,132.2,M
278,Male,46,144.8,M
279,Female,47.2,169.6,XL
280,Female,40.1,147.9,M
281,Female,17.7,98.8,S
282,Male,38,134.8,M
283,Female,19.5,90.9,S
284,Female,10.8,79,XS
285,Male,43.5,148,M
286,Female,21,103.8,S
287,Male,26.1,137.7,XL
288,Male,39.2,122.3,M
289,Male,28.3,102.1,S
290,Male,24.9,126.7,XL
291,Female,5.4,78.2,XS
292,Male,37.5,171.4,XL
293,Female,20.1,62.4,XS
294,Female,4.5,63,XS
295,Male,16.5,145,XL
296,Male,32.2,112.4,M
297,Male,5.2,55.6,XS
298,Female,44.1,174.7,XL
299,Female,37.2,145.2,M
300,Female,34.3,150.9,M
301,Male,37.3,147.7,M
302,Female,26.2,113,S
303,Male,47.5,151.4,M
304,Female,7.2,91.8,XS
305,Female,49.8,154.1,M
306,Male,16.3,67.9,XS
307,Male,11,52.3,XS
308,Female,37.3,116.4,M
309,Male,13.4,58.5,XS
310,Female,8,63.9,XS
311,Female,28.3,104.3,S
312,Male,2.1,58.6,XS
313,Female,28.8,127.5,XL
314,Male,32.4,127.3,M
315,Female,40.1,152.9,M
316,Female,34.5,148,M
317,Male,8.2,64.9,XS
318,Female,26.3,102,S
319,Male,36.7,149.5,M
320,Male,41.6,162.7,XL
321,Male,34.7,151.3,M
322,Male,22,78.1,XS
323,Female,33.8,118.4,M
324,Male,25.3,76.2,XS
325,Male,34.6,148.9,M
326,Female,31,153,M
327,Female,20.9,105.6,S
328,Female,10,64.2,XS
329,Female,6.8,68.2,XS
330,Female,20.9,100.9,S
331,Male,23.6,98.3,S
332,Male,31.5,104.3,M
333,Male,28.2,90.5,S
334,Male,25.7,111.7,S
335,Male,20.4,104.3,S
336,Male,10,65.8,XS
337,Female,16,80.3,S
338,Male,32.6,130.5,M
339,Male,32.9,107.4,M
340,Female,16.9,84.3,S
341,Male,32.1,139.3,M
342,Female,14.5,70.4,XS
343,Male,24.8,97.9,S
344,Female,30.6,126.3,M
345,Female,17.9,83.4,S
346,Male,12.6,76.6,XS
347,Female,12.5,86.8,S
348,Male,44.9,166.2,XL
349,Male,34.6,128,M
350,Female,33.2,107.8,M
351,Male,29.7,102.7,S
352,Male,40.2,161.6,XL
353,Female,15.2,85.4,S
354,Male,37.2,138.4,M
355,Female,38.8,150.2,M
356,Female,6.5,42.7,XS
357,Male,36.5,155.7,M
358,Female,31.9,148,M
359,Male,36.6,154.6,M
360,Female,29.9,107.1,S
361,Male,1.7,50.5,XS
362,Female,38.9,169.9,XL
363,Female,32.6,120.2,M
364,Female,0.6,44.5,XS
365,Male,39.2,137.2,M
366,Male,11.4,95.4,S
367,Male,21.8,105.8,S
368,Male,7.7,70.5,XS
369,Female,6.6,53.8,XS
370,Male,45.8,155.3,M
371,Female,47.2,170.1,XL
372,Male,27.3,117.2,S
373,Male,23,78,XS
374,Female,17.5,87.9,S
375,Female,36.6,134.4,M
376,Female,31.1,121.6,M
377,Female,40.5,144.7,M
378,Female,22.9,98.4,S
379,Female,34.8,111.9,M
380,Male,25.7,114.2,S
381,Female,9,57.6,XS
382,Female,34.7,153.7,M
383,Female,4,45.1,XS
384,Female,23.8,81.3,S
385,Male,20.1,104,S
386,Female,14.8,67.9,XS
387,Female,27.8,137,XL
388,Male,11.2,81.6,S
389,Male,25.2,120.6,XL
390,Female,7.4,66,XS
391,Female,24.4,98.7,S
392,Female,29,122,XL
393,Female,16.2,83.6,S
394,Male,35.3,137.4,M
395,Female,37.6,163.3,XL
396,Female,4.5,60.5,XS
397,Male,51.4,158.4,L
398,Male,18.2,72.9,XS
399,Female,34.2,136.2,M
400,Female,46.6,124.7,M
401,Male,-3.3,50.2,XS
402,Female,10.7,65.2,XS
403,Female,31.3,131.8,M
404,Male,19.1,76.6,XS
405,Female,22.9,103.5,S
406,Female,26.9,110,S
407,Male,45.6,165.5,XL
408,Female,33.6,149.9,M
409,Male,36.1,167.9,XL
410,Male,6.3,33.8,XS
411,Female,23.6,133,XL
412,Female,24.3,111.6,S
413,Male,0.9,65.5,XS
414,Female,3.3,56.4,XS
415,Male,8.2,50.8,XS
416,Male,42.2,146.3,M
417,Female,27.3,132.4,XL
418,Female,1.5,56.7,XS
419,Male,16.2,70.6,XS
420,Male,47.1,152.3,M
421,Female,11.2,87.2,S
422,Male,18.2,88.3,S
423,Male,30.2,120.8,M
424,Male,13.6,121.5,XL
425,Female,-4.1,44.3,XS
426,Female,8.3,70.7,XS
427,Female,22.5,117.7,S
428,Female,18.9,81.4,S
429,Male,40.2,159.6,M
430,Female,50.6,155.9,L
431,Female,33.5,150.8,M
432,Male,0.6,67.7,XS
433,Male,34.1,117.4,M
434,Female,32.6,121.2,M
435,Male,47.7,168.6,XL
436,Male,10.7,89.7,S
437,Female,25.1,111.2,S
438,Male,20.7,79.7,XS
439,Male,34.4,108.5,M
440,Male,7.9,94.5,XS
441,Male,19.8,78.8,XS
442,Female,39.3,160.4,XL
443,Male,46.3,170.6,XL
444,Female,39,149.4,M
445,Female,31.1,147.8,M
446,Female,23.3,95.6,S
447,Male,25.8,106.9,S
448,Female,10.2,60.5,XS
449,Male,40.3,146.5,M
450,Male,27.6,163.5,XL
451,Female,11.8,92,S
452,Male,13.7,64.3,XS
453,Male,2.8,39.2,XS
454,Female,42.3,145.7,M
455,Male,33.9,103.3,M
456,Male,3,66.9,XS
457,Male,40.9,130.5,M
458,Female,44.9,167,XL
459,Female,48.8,139.6,M
460,Male,7.8,65.2,XS
461,Male,10.7,79.2,XS
462,Female,42.6,138.9,M
463,Male,31.1,142.2,M
464,Male,36.7,149.3,M
465,Male,32.1,148.3,M
466,Female,31.9,107,M
467,Male,23.4,103.1,S
468,Male,20,75.4,XS
469,Female,7.1,67.4,XS
470,Female,24.3,103.8,S
471,Female,27.2,160.7,XL
472,Female,5.1,72.5,XS
473,Female,18,72.9,XS
474,Male,27.7,118.1,S
475,Male,13.7,74.5,XS
476,Male,41.6,159,M
477,Male,22.4,94.3,S
478,Male,6.6,56.4,XS
479,Female,37.9,160.2,XL
480,Female,10.1,77.4,XS
481,Female,12,77.7,XS
482,Female,23,100.3,S
483,Male,22.9,103.8,S
484,Male,40.6,170.7,XL
485,Female,35.8,150.5,M
486,Female,30.3,100,M
487,Female,6.9,65.1,XS
488,Male,31.3,137.4,M
489,Female,8.4,50,XS
490,Male,7.6,72.9,XS
491,Female,11.8,79,XS
492,Male,11.5,57.3,XS
493,Male,37,120,M
494,Male,47.1,173.1,XL
495,Female,28.4,130.5,XL
496,Female,25.5,111.3,S
497,Male,8.7,52.1,XS
498,Female,24.3,85.5,S
499,Male,35.5,134.4,M
500,Male,19.8,94.6,S
501,Female,30.1,132.3,M
502,Male,7.5,66.8,XS
503,Male,29.5,129.1,XL
504,Female,13.4,118.4,S
505,Male,41.4,132.2,M
506,Male,10.4,43.7,XS
507,Female,25.3,94,S
508,Male,45.3,158.4,M
509,Male,22.6,101.3,S
510,Female,44.7,143.5,M
511,Female,41.9,131.4,M
512,Male,16.9,62.1,XS
513,Male,0.9,67.4,XS
514,Female,23.1,130,XL
515,Female,13.9,94.1,S
516,Male,18.2,78.3,XS
517,Male,41.8,170.2,XL
518,Male,13.5,72,XS
519,Female,16,83.2,S
520,Female,18.7,69,XS
521,Male,17.3,61.5,XS
522,Female,49.9,170.9,XL
523,Female,23.2,131.4,XL
524,Male,20.4,106.7,S
525,Female,33.9,144.9,M
526,Male,21.1,79.5,XS
527,Female,1.6,32.5,XS
528,Male,37.4,146.5,M
529,Male,28.5,106.4,S
530,Male,20.9,92.8,S
531,Female,14.3,101.7,S
532,Female,3.3,87.7,XS
533,Male,36.8,137,M
534,Male,26.4,110.9,S
535,Female,15.4,79.7,XS
536,Male,45.4,143.3,M
537,Male,37.2,127.4,M
538,Female,29.1,138.6,XL
539,Female,7.7,59.2,XS
540,Female,45.5,178.2,XL
541,Male,18.9,98.6,S
542,Male,7.5,65.4,XS
543,Male,4.1,59.5,XS
544,Female,4,68.8,XS
545,Male,19.3,86,S
546,Female,39.7,161.2,XL
547,Female,-0.9,50.4,XS
548,Female,23.6,118.1,S
549,Male,19.4,124.7,XL
550,Female,34.8,128.6,M
551,Female,29.6,110.5,S
552,Female,28.2,126.6,XL
553,Female,33.8,107,M
554,Male,34.8,129.7,M
555,Male,50.9,172.3,L
556,Male,16.6,99.6,S
557,Male,13.7,105.2,S
558,Male,33.3,114.1,M
559,Female,31.8,117.9,M
560,Male,32.2,87.7,M
561,Male,26.4,134.4,XL
562,Female,13,59.6,XS
563,Male,36.6,140.5,M
564,Male,-4.3,45.4,XS
565,Female,-5.5,58.5,XS
566,Male,27.8,134.3,XL
567,Female,51.2,172.6,L
568,Female,6.4,69.6,XS
569,Female,4.7,53,XS
570,Female,42.6,169.6,XL
571,Male,29.5,151.9,XL
572,Female,37.2,157.1,M
573,Male,7.4,52.5,XS
574,Female,14,98.3,S
575,Male,35.4,130.3,M
576,Male,3.2,59.8,XS
577,Male,-0.7,61.7,XS
578,Male,8.2,60.7,XS
579,Female,27.9,131.6,XL
580,Male,43.9,125.4,M
581,Male,12.4,62.2,XS
582,Female,9.6,79.3,XS
583,Male,8.7,54.1,XS
584,Female,18.7,106.7,S
585,Male,42.1,162,XL
586,Male,45.5,161.7,XL
587,Female,21.9,114.1,S
588,Male,15.8,89.5,S
589,Female,16.5,65.6,XS
590,Female,24.5,64.8,XS
591,Female,5.3,81.1,XS
592,Female,32.6,144.7,M
593,Male,24.4,97.8,S
594,Female,13.8,53.9,XS
595,Male,14.7,63.1,XS
596,Female,11.9,101.6,S
597,Female,8.7,51.9,XS
598,Male,38.1,146.9,M
599,Female,28.3,115.1,S
600,Female,32.1,153.4,M
601,Male,32.5,161.7,XL
602,Male,48.8,175,XL
603,Female,9.3,49.5,XS
604,Male,38.1,138.3,M
605,Female,26.5,130.1,XL
606,Male,20.8,95,S
607,Male,22.7,99.6,S
608,Female,46.5,155.7,M
609,Female,20.3,110.9,S
610,Male,47,153.7,M
611,Female,30.4,115.2,M
612,Male,22,102,S
613,Male,9.6,59.1,XS
614,Male,47.2,141.1,M
615,Male,30.4,132.6,M
616,Male,20,73,XS
617,Female,33.5,125.7,M
618,Female,3.3,70.3,XS
619,Female,39.3,141,M
620,Female,28.4,116.2,S
621,Male,14.9,92.3,S
622,Female,15.4,76.7,XS
623,Female,5.4,50.6,XS
624,Male,34.7,144,M
625,Female,9.6,68.8,XS
626,Female,27.7,115.5,S
627,Female,9.8,63.6,XS
628,Male,3.2,60.8,XS
629,Female,23.4,116.5,S
630,Male,25.8,125,XL
631,Male,25.4,99.9,S
632,Male,8.8,65.6,XS
633,Female,10.9,61.6,XS
634,Male,28.4,146,XL
635,Female,46.6,162.5,XL
636,Female,23,121.5,XL
637,Male,29.4,109.4,S
638,Male,35,141.5,M
639,Female,40.8,122.4,M
640,Female,22.3,106.1,S
641,Female,6.7,59.3,XS
642,Female,42.5,166.5,XL
643,Female,22,71.1,XS
644,Female,18.8,65.6,XS
645,Female,36.9,126,M
646,Female,14.3,76.2,XS
647,Male,17.8,71.2,XS
648,Male,35,139.7,M
649,Female,15.2,97.4,S
650,Male,36,138.9,M
651,Female,39.4,166.2,XL
652,Male,31.6,154.1,M
653,Female,44.5,167,XL
654,Female,31.6,128.1,M
655,Male,43,135.6,M
656,Male,12.7,66.1,XS
657,Female,21.2,99.3,S
658,Male,23,106.7,S
659,Female,45.9,164.7,XL
660,Female,28.6,106.5,S
661,Male,0.2,70.1,XS
662,Female,8,74.8,XS
663,Male,25.3,89.6,S
664,Female,33.4,147.7,M
665,Female,37.6,148,M
666,Male,14.5,90.3,S
667,Female,42.2,153.6,M
668,Female,25.8,112.2,S
669,Female,6.3,54.7,XS
670,Female,33.7,121.6,M
671,Female,16.4,73.8,XS
672,Male,55,170.8,L
673,Male,16.1,95.3,S
674,Male,31.2,127.2,M
675,Male,35.5,138.2,M
676,Male,10.5,56.6,XS
677,Male,43.9,154.7,M
678,Male,14.1,89.3,S
679,Female,34,158.8,M
680,Female,11.2,80,S
681,Male,11.5,61.8,XS
682,Male,28.9,149.6,XL
683,Male,13.5,92.3,S
684,Female,23.1,82.5,S
685,Male,18.2,110.8,S
686,Male,29.6,131.9,XL
687,Male,22.1,110.9,S
688,Male,-1.4,58,XS
689,Male,11.9,73.9,XS
690,Male,12.7,95.3,S
691,Female,21.9,98.2,S
692,Female,7.4,54.1,XS
693,Female,20.9,96.5,S
694,Male,7.7,55.3,XS
695,Female,29.8,120.8,XL
696,Male,50.8,173.9,L
697,Female,38.6,148.1,M
698,Male,34.8,132,M
699,Male,47.7,164.2,XL
700,Female,28.7,130.6,XL
701,Female,34.4,125,M
702,Female,27.4,96.7,S
703,Male,23.6,109.4,S
704,Male,10,67.8,XS
705,Female,45.2,163.3,XL
706,Female,48.5,171.8,XL
707,Female,29.5,134,XL
708,Male,4.5,78,XS
709,Female,31.8,126.5,M
710,Female,6.4,58.7,XS
711,Male,33.3,146.2,M
712,Male,19.2,69.6,XS
713,Female,21.9,109.4,S
714,Female,11.7,65,XS
715,Female,21,93.2,S
716,Male,34.6,130.9,M
717,Female,38.7,112.9,M
718,Male,48.8,165.2,XL
719,Male,31.7,115,M
720,Male,-5.2,64.2,XS
721,Male,25.2,92.5,S
722,Female,43.6,170.7,XL
723,Female,35.4,154.7,M
724,Male,3.7,42.7,XS
725,Male,14.1,67.9,XS
726,Female,17.3,68.7,XS
727,Female,43.3,164,XL
728,Male,13.6,89.7,S
729,Female,14.6,94.6,S
730,Male,27.1,93.9,S
731,Male,39,148.1,M
732,Female,36.7,156.3,M
733,Female,22.1,104,S
734,Male,42.6,141.2,M
735,Male,36.1,138,M
736,Female,36.4,170.3,XL
737,Female,24,121.2,XL
738,Male,41.7,151.1,M
739,Male,21.9,110.2,S
740,Male,16.4,57,XS
741,Male,15,84.1,S
742,Female,39.2,154.8,M
743,Female,49.6,152.9,M
744,Male,35.7,145.4,M
745,Male,30.3,99,M
746,Male,17,95.7,S
747,Male,32.4,154.9,M
748,Female,29.9,114.7,S
749,Male,4.8,61,XS
750,Male,48.1,171.3,XL
751,Female,34.3,114.8,M
752,Male,31.6,120.4,M
753,Female,35.9,165.1,XL
754,Female,33.8,155.2,M
755,Female,50.4,172.3,L
756,Female,11.1,57,XS
757,Male,25.2,109.1,S
758,Female,8.9,60.9,XS
759,Female,34.6,159.8,M
760,Male,45.4,157,M
761,Female,45.4,175.7,XL
762,Male,27.2,102.4,S
763,Male,43.8,173.1,XL
764,Female,3.1,48.4,XS
765,Female,26.8,138.2,XL
766,Female,6.5,59.2,XS
767,Male,35.6,139.6,M
768,Female,40.3,169.1,XL
769,Female,14.9,65.8,XS
770,Male,32.7,118.8,M
771,Female,40.7,161.8,XL
772,Male,12.8,86.6,S
773,Female,20.2,98.3,S
774,Female,36.7,147.5,M
775,Male,28,100.7,S
776,Female,5.6,49.5,XS
777,Male,44.1,138.3,M
778,Male,22.1,110.3,S
779,Female,21.6,101.7,S
780,Male,13.3,68.5,XS
781,Female,19.5,109.3,S
782,Male,13,87.8,S
783,Female,23.3,127.8,XL
784,Male,13,70.7,XS
785,Female,8.6,87.3,XS
786,Male,31.9,124.6,M
787,Female,34,133.6,M
788,Male,30.4,126,M
789,Female,15.2,69.1,XS
790,Male,33.5,133.9,M
791,Female,24.3,87,S
792,Male,41.2,162.7,XL
793,Female,3.2,65.2,XS
794,Female,20.5,109.4,S
795,Female,39.4,148.1,M
796,Male,17.4,108.5,S
797,Male,21.4,77.4,XS
798,Male,31.1,139.5,M
799,Male,22.6,109,S
800,Female,41.7,155.2,M
801,Male,11.4,64.6,XS
802,Female,12.5,68.7,XS
803,Male,7.8,61.3,XS
804,Female,25.2,93.1,S
805,Male,18.6,88.1,S
806,Female,28,115.9,S
807,Female,35.3,155.7,M
808,Female,30.3,145.2,M
809,Female,5.4,65.4,XS
810,Female,14.9,87.4,S
811,Male,46.4,154.5,M
812,Female,5.2,52.3,XS
813,Male,34.1,126,M
814,Female,24.8,105.4,S
815,Male,23.2,99.4,S
816,Female,15,89.5,S
817,Female,20.6,112.2,S
818,Male,36.6,143.4,M
819,Female,35.4,140.9,M
820,Female,15.4,67.9,XS
821,Male,21.5,109.7,S
822,Female,23.3,98.2,S
823,Female,22.4,92.6,S
824,Male,47.7,130.3,M
825,Male,29.9,83.7,S
826,Male,15.5,92.9,S
827,Male,31.9,135.4,M
828,Female,12.5,58.9,XS
829,Female,13.3,67.7,XS
830,Male,33.4,135.9,M
831,Female,13.3,117.9,S
832,Male,5.5,55,XS
833,Female,26.5,126.5,XL
834,Male,16.2,109.5,S
835,Male,17.3,92.5,S
836,Male,20.9,67.4,XS
837,Female,30.5,81.1,M
838,Male,2.9,61.1,XS
839,Male,5.7,60,XS
840,Female,22.5,79.7,XS
841,Male,50.3,166,L
842,Female,34.5,113.2,M
843,Female,10,83,S
844,Male,37.8,157.5,M
845,Male,6.3,53.2,XS
846,Male,24.8,103,S
847,Male,13,97,S
848,Female,11.9,75.7,XS
849,Male,18.6,94.2,S
850,Female,17.9,81.9,S
851,Male,10.9,61.7,XS
852,Female,5.3,58.7,XS
853,Female,20.6,91.7,S
854,Female,5.8,49.4,XS
855,Female,0.5,58.8,XS
856,Female,26.9,129.1,XL
857,Male,12.9,73.1,XS
858,Male,4.3,60,XS
859,Female,9.2,51.1,XS
860,Female,7.8,51.9,XS
861,Male,38.1,119.5,M
862,Male,38.3,148.4,M
863,Female,12.8,55.6,XS
864,Male,36.8,156.4,M
865,Male,-4.8,65.1,XS
866,Female,31.8,138.5,M
867,Male,25,88.9,S
868,Male,17.7,95.5,S
869,Female,45.5,165.8,XL
870,Female,2.6,43.2,XS
871,Male,5.2,62.6,XS
872,Male,45.2,148.6,M
873,Male,10.8,76.9,XS
874,Male,27.6,120.9,XL
875,Male,11.2,66.8,XS
876,Male,19.6,99.4,S
877,Female,48.3,156.5,M
878,Male,26.9,97.8,S
879,Female,22.5,123.7,XL
880,Male,34.8,137.4,M
881,Female,31.2,109.1,M
882,Male,8.4,61.9,XS
883,Male,22.2,111.4,S
884,Female,23.8,105.1,S
885,Female,17.1,82.4,S
886,Female,10.7,67.4,XS
887,Female,18.2,86,S
888,Female,42.2,151.4,M
889,Female,17,51.2,XS
890,Male,40.5,167.9,XL
891,Male,2.4,49.8,XS
892,Female,1,43.6,XS
893,Male,7.3,51.9,XS
894,Male,44,172.6,XL
895,Male,12.7,63.2,XS
896,Male,22.2,94.9,S
897,Female,24.2,106.1,S
898,Female,18.6,87.2,S
899,Female,40.5,132.9,M
900,Female,17.1,95.1,S
901,Female,38.7,125.8,M
902,Female,23.6,115.7,S
903,Female,32.5,136.5,M
904,Female,19.6,97.5,S
905,Male,35.8,158.2,M
906,Male,19.5,67.6,XS
907,Female,38.6,136.1,M
908,Female,8.4,53.8,XS
909,Female,35.8,156.1,M
910,Female,30.4,109.5,M
911,Female,7.3,76,XS
912,Female,29.2,119.2,S
913,Female,14,67,XS
914,Male,23.8,122.9,XL
915,Male,23.3,89.5,S
916,Male,14.5,87.9,S
917,Male,5.2,50.8,XS
918,Female,9.4,58.7,XS
919,Female,36.1,142.7,M
920,Female,37.7,142.1,M
921,Male,44.2,171,XL
922,Male,44.9,136.7,M
923,Female,29.2,114.9,S
924,Female,4.1,40.9,XS
925,Female,34.8,125.9,M
